population of generation: 200
length of gene: 10
range of answer: 1 ~ 1000000
incidence of mutation: 1/200 (0.50%)
worst count of this game: 20


0174085469(16) 6379288357(16) 64a9223442(16) a305591a12(16) 2611685886(17) 3554a58729(17) 695667936a(18) a950245919(18) 3a61269496(18) 3229759144(19) 
6611685886(14) 6375585887(17) 6375523357(18) 662a853136(18) 5554a49707(18) 472a57857a(18) 2556675816(19) 2556675816(19) 6611685146(19) 8680267851(19) 
6616667856(13) 6616667856(13) 6616667856(13) 6616667856(13) 6616667856(13) 0174583959(15) 5554578577(16) 6611683886(16) 6354585887(17) 6611685886(17) 
5556677811(10) 5554578577(12) 5554578577(12) 5554578577(12) 6611663886(13) 6611663886(13) 6611663886(13) 6375503946(13) 6656667886(14) 6656667886(14) 
6616585856( 9) 6616585856( 9) 6616585856( 9) 6616665886(15) 6616665886(15) 5551663846(15) 5551663886(16) 5551663886(16) 5551663886(16) 6374585886(16) 
6616667887(12) 6651663886(14) 6651667886(15) 5374665886(16) 5374665886(16) 5574585886(16) 5574585886(16) 6374663886(16) 6374663886(16) 6374663886(16) 
6351665886(14) 6351665886(14) 6651667887(16) 6651665886(16) 6651665886(16) 6651665886(16) 6651665886(16) 6651665886(16) 6374663886(16) 6374663886(16) 
6674663886(16) 6674663886(16) 6674663886(16) 6674663886(16) 6674663886(16) 6674663886(16) 6674663886(16) 6674663886(16) 6674663886(16) 5374663886(16) 
6654663886(15) 6654663886(15) 5371667886(16) 6651667886(17) 6651667886(17) 6651667886(17) 6651667886(17) 6651667886(17) 6651667886(17) 6651667886(17) 
6674663886(16) 6674663886(16) 6674663886(16) 6674663886(16) 6674663886(16) 6674663886(16) 6674663886(16) 6674663886(16) 6674663886(16) 6674663886(16) 
5371667886(15) 5371667886(15) 6651667886(16) 6651667886(16) 6651667886(16) 6651667886(16) 6651667886(16) 6651667886(16) 6651667886(16) 6651667886(16) 
6670663886(18) 6672543866(19) 6651663886(19) 6651663886(19) 6651663886(19) 6671663886(19) 5651667886(20) 5651667886(20) 5651667886(20) 5651667886(20) 
5371667456(15) 5654667886(17) 6671667886(17) 6671667886(17) 6671667886(17) 6671667886(17) 6671667886(17) 6671667886(17) 6671667886(17) 6671667886(17) 
6651667486(16) 6651663886(18) 6651663886(18) 6651663886(18) 6651663886(18) 6651663886(18) 6651663886(18) 6671663886(18) 6671663886(18) 6671663886(18) 
