population of generation: 200
length of gene: 10
range of answer: 1 ~ 1000000
incidence of mutation: 1/200 (0.50%)
worst count of this game: 20


618122a62a(15) 5961212805(16) 6447852a64(16) 8588855763(17) 3678498018(17) 4353996549(18) 53715041a8(18) 2247965354(19) 0520146799(19) 3935462643(19) 
3935543803(13) 34272a3295(15) 6447965768(16) 4353965353(16) 9774581990(16) 9829237655(17) 977458178a(17) 5341462743(18) 3671496543(18) 3647862648(18) 
4350165353(12) 3647862648(12) 3647862648(12) 6447852694(14) 6447965648(17) 6447965648(17) 6447965648(17) 6447852799(17) 4353965353(17) 5341462643(17) 
6441965393(14) 6441965393(14) 6441965393(14) 6441965393(14) 4771562118(15) 3747262648(15) 9735543268(16) 6353965648(16) 4647862653(17) 4647862653(17) 
6447862788(13) 6347862668(14) 3647862693(14) 3745965643(16) 6447262643(16) 0647462649(16) 4735814913(16) 4450165643(17) 3747262648(17) 6451965653(18) 
3741965643(11) 6437262648(13) 6441965653(14) 6441965653(14) 6441965653(14) 6441965653(14) 6441965653(14) 3747265313(14) 3745262649(15) 3745262649(15) 
6343965393(13) 6455862649(14) 6447862649(14) 6447862649(14) 6447862649(14) 6441962648(14) 6441962648(14) 6441962648(14) 3745814643(15) 6437262698(15) 
6437864649(16) 6437864649(16) 3747965653(18) 6747862648(18) 6747862648(18) 4757262643(18) 6437262648(18) 6437262648(18) 6437262648(18) 6445265643(19) 
3735262648(14) 6445862643(16) 6435862643(16) 6747812649(16) 6455862653(17) 3745862699(17) 3745862699(17) 3745862699(17) 6745862649(17) 6455865643(18) 
6447262648(13) 4441214643(14) 4441214643(14) 6747962643(17) 6747962643(17) 4437262643(17) 6435262648(17) 6435262648(17) 6735862648(17) 6435862643(18) 
3447862699(16) 6735262643(17) 6735262643(17) 6735262643(17) 6735262643(17) 6735262643(17) 3455862648(18) 6445862648(18) 6757862649(18) 6747862648(18) 
6747212643(12) 3747965643(15) 4435262643(16) 4435262643(16) 4435262643(16) 4435262643(16) 4435214643(17) 6441214648(17) 6441214648(17) 4431262643(17) 
3435262699(11) 3435262699(11) 3435262699(11) 3435262699(11) 6741214648(15) 4435264643(16) 4435264643(16) 6431262648(16) 6431262648(16) 3435264693(16) 
6747214643(13) 4437262648(14) 6747212643(16) 6747212643(16) 6737212643(16) 4437212648(17) 6445262643(18) 3435212699(19) 6441214648(19) 4435264698(19) 
3445264643(15) 3445264643(15) 6435262699(16) 3445262699(17) 3445262699(17) 4447262643(17) 6445264643(18) 3437264643(18) 3437264643(18) 6735264648(18) 
6741262698(12) 6747264643(15) 6747264643(15) 3435264648(17) 6447264648(17) 6447264648(17) 6447264648(17) 6447264648(17) 6447264648(17) 6447264648(17) 
